# Growth rate = 3.5600
# Number of generations	Populations
1025	0.808639
1026	0.550881
1027	0.880784
1028	0.373814
1029	0.833314
1030	0.494490
1031	0.889892
1032	0.348824
1033	0.808639
1034	0.550881
1035	0.880784
1036	0.373814
1037	0.833314
1038	0.494490
1039	0.889892
1040	0.348824
1041	0.808639
1042	0.550881
1043	0.880784
1044	0.373814
1045	0.833314
1046	0.494490
1047	0.889892
1048	0.348824
1049	0.808639
1050	0.550881
1051	0.880784
1052	0.373814
1053	0.833314
1054	0.494490
1055	0.889892
1056	0.348824
1057	0.808639
1058	0.550881
1059	0.880784
1060	0.373814
1061	0.833314
1062	0.494490
1063	0.889892
1064	0.348824
1065	0.808639
1066	0.550881
1067	0.880784
1068	0.373814
1069	0.833314
1070	0.494490
1071	0.889892
1072	0.348824
1073	0.808639
1074	0.550881
1075	0.880784
1076	0.373814
1077	0.833314
1078	0.494490
1079	0.889892
1080	0.348824
1081	0.808639
1082	0.550881
1083	0.880784
1084	0.373814
1085	0.833314
1086	0.494490
1087	0.889892
1088	0.348824
1089	0.808639
1090	0.550881
1091	0.880784
1092	0.373814
1093	0.833314
1094	0.494490
1095	0.889892
1096	0.348824
1097	0.808639
1098	0.550881
1099	0.880784
1100	0.373814
1101	0.833314
1102	0.494490
1103	0.889892
1104	0.348824
1105	0.808639
1106	0.550881
1107	0.880784
1108	0.373814
1109	0.833314
1110	0.494490
1111	0.889892
1112	0.348824
1113	0.808639
1114	0.550881
1115	0.880784
1116	0.373814
1117	0.833314
1118	0.494490
1119	0.889892
1120	0.348824
1121	0.808639
1122	0.550881
1123	0.880784
1124	0.373814
1125	0.833314
1126	0.494490
1127	0.889892
1128	0.348824
1129	0.808639
1130	0.550881
1131	0.880784
1132	0.373814
1133	0.833314
1134	0.494490
1135	0.889892
1136	0.348824
1137	0.808639
1138	0.550881
1139	0.880784
1140	0.373814
1141	0.833314
1142	0.494490
1143	0.889892
1144	0.348824
1145	0.808639
1146	0.550881
1147	0.880784
1148	0.373814
1149	0.833314
1150	0.494490
1151	0.889892
1152	0.348824
1153	0.808639
1154	0.550881
1155	0.880784
1156	0.373814
1157	0.833314
1158	0.494490
1159	0.889892
1160	0.348824
1161	0.808639
1162	0.550881
1163	0.880784
1164	0.373814
1165	0.833314
1166	0.494490
1167	0.889892
1168	0.348824
1169	0.808639
1170	0.550881
1171	0.880784
1172	0.373814
1173	0.833314
1174	0.494490
1175	0.889892
1176	0.348824
1177	0.808639
1178	0.550881
1179	0.880784
1180	0.373814
1181	0.833314
1182	0.494490
1183	0.889892
1184	0.348824
1185	0.808639
1186	0.550881
1187	0.880784
1188	0.373814
1189	0.833314
1190	0.494490
1191	0.889892
1192	0.348824
1193	0.808639
1194	0.550881
1195	0.880784
1196	0.373814
1197	0.833314
1198	0.494490
1199	0.889892
1200	0.348824
1201	0.808639
1202	0.550881
1203	0.880784
1204	0.373814
1205	0.833314
1206	0.494490
1207	0.889892
1208	0.348824
1209	0.808639
1210	0.550881
1211	0.880784
1212	0.373814
1213	0.833314
1214	0.494490
1215	0.889892
1216	0.348824
1217	0.808639
1218	0.550881
1219	0.880784
1220	0.373814
1221	0.833314
1222	0.494490
1223	0.889892
1224	0.348824
1225	0.808639
1226	0.550881
1227	0.880784
1228	0.373814
1229	0.833314
1230	0.494490
1231	0.889892
1232	0.348824
1233	0.808639
1234	0.550881
1235	0.880784
1236	0.373814
1237	0.833314
1238	0.494490
1239	0.889892
1240	0.348824
1241	0.808639
1242	0.550881
1243	0.880784
1244	0.373814
1245	0.833314
1246	0.494490
1247	0.889892
1248	0.348824
1249	0.808639
1250	0.550881
1251	0.880784
1252	0.373814
1253	0.833314
1254	0.494490
1255	0.889892
1256	0.348824
1257	0.808639
1258	0.550881
1259	0.880784
1260	0.373814
1261	0.833314
1262	0.494490
1263	0.889892
1264	0.348824
1265	0.808639
1266	0.550881
1267	0.880784
1268	0.373814
1269	0.833314
1270	0.494490
1271	0.889892
1272	0.348824
1273	0.808639
1274	0.550881
1275	0.880784
1276	0.373814
1277	0.833314
1278	0.494490
1279	0.889892
1280	0.348824
1281	0.808639
1282	0.550881
1283	0.880784
1284	0.373814
1285	0.833314
1286	0.494490
1287	0.889892
1288	0.348824
1289	0.808639
1290	0.550881
1291	0.880784
1292	0.373814
1293	0.833314
1294	0.494490
1295	0.889892
1296	0.348824
1297	0.808639
1298	0.550881
1299	0.880784
1300	0.373814
1301	0.833314
1302	0.494490
1303	0.889892
1304	0.348824
1305	0.808639
1306	0.550881
1307	0.880784
1308	0.373814
1309	0.833314
1310	0.494490
1311	0.889892
1312	0.348824
1313	0.808639
1314	0.550881
1315	0.880784
1316	0.373814
1317	0.833314
1318	0.494490
1319	0.889892
1320	0.348824
1321	0.808639
1322	0.550881
1323	0.880784
1324	0.373814
1325	0.833314
1326	0.494490
1327	0.889892
1328	0.348824
1329	0.808639
1330	0.550881
1331	0.880784
1332	0.373814
1333	0.833314
1334	0.494490
1335	0.889892
1336	0.348824
1337	0.808639
1338	0.550881
1339	0.880784
1340	0.373814
1341	0.833314
1342	0.494490
1343	0.889892
1344	0.348824
1345	0.808639
1346	0.550881
1347	0.880784
1348	0.373814
1349	0.833314
1350	0.494490
1351	0.889892
1352	0.348824
1353	0.808639
1354	0.550881
1355	0.880784
1356	0.373814
1357	0.833314
1358	0.494490
1359	0.889892
1360	0.348824
1361	0.808639
1362	0.550881
1363	0.880784
1364	0.373814
1365	0.833314
1366	0.494490
1367	0.889892
1368	0.348824
1369	0.808639
1370	0.550881
1371	0.880784
1372	0.373814
1373	0.833314
1374	0.494490
1375	0.889892
1376	0.348824
1377	0.808639
1378	0.550881
1379	0.880784
1380	0.373814
1381	0.833314
1382	0.494490
1383	0.889892
1384	0.348824
1385	0.808639
1386	0.550881
1387	0.880784
1388	0.373814
1389	0.833314
1390	0.494490
1391	0.889892
1392	0.348824
1393	0.808639
1394	0.550881
1395	0.880784
1396	0.373814
1397	0.833314
1398	0.494490
1399	0.889892
1400	0.348824
1401	0.808639
1402	0.550881
1403	0.880784
1404	0.373814
1405	0.833314
1406	0.494490
1407	0.889892
1408	0.348824
1409	0.808639
1410	0.550881
1411	0.880784
1412	0.373814
1413	0.833314
1414	0.494490
1415	0.889892
1416	0.348824
1417	0.808639
1418	0.550881
1419	0.880784
1420	0.373814
1421	0.833314
1422	0.494490
1423	0.889892
1424	0.348824
1425	0.808639
1426	0.550881
1427	0.880784
1428	0.373814
1429	0.833314
1430	0.494490
1431	0.889892
1432	0.348824
1433	0.808639
1434	0.550881
1435	0.880784
1436	0.373814
1437	0.833314
1438	0.494490
1439	0.889892
1440	0.348824
1441	0.808639
1442	0.550881
1443	0.880784
1444	0.373814
1445	0.833314
1446	0.494490
1447	0.889892
1448	0.348824
1449	0.808639
1450	0.550881
1451	0.880784
1452	0.373814
1453	0.833314
1454	0.494490
1455	0.889892
1456	0.348824
1457	0.808639
1458	0.550881
1459	0.880784
1460	0.373814
1461	0.833314
1462	0.494490
1463	0.889892
1464	0.348824
1465	0.808639
1466	0.550881
1467	0.880784
1468	0.373814
1469	0.833314
1470	0.494490
1471	0.889892
1472	0.348824
1473	0.808639
1474	0.550881
1475	0.880784
1476	0.373814
1477	0.833314
1478	0.494490
1479	0.889892
1480	0.348824
1481	0.808639
1482	0.550881
1483	0.880784
1484	0.373814
1485	0.833314
1486	0.494490
1487	0.889892
1488	0.348824
1489	0.808639
1490	0.550881
1491	0.880784
1492	0.373814
1493	0.833314
1494	0.494490
1495	0.889892
1496	0.348824
1497	0.808639
1498	0.550881
1499	0.880784
1500	0.373814
1501	0.833314
1502	0.494490
1503	0.889892
1504	0.348824
1505	0.808639
1506	0.550881
1507	0.880784
1508	0.373814
1509	0.833314
1510	0.494490
1511	0.889892
1512	0.348824
1513	0.808639
1514	0.550881
1515	0.880784
1516	0.373814
1517	0.833314
1518	0.494490
1519	0.889892
1520	0.348824
1521	0.808639
1522	0.550881
1523	0.880784
1524	0.373814
1525	0.833314
1526	0.494490
1527	0.889892
1528	0.348824
1529	0.808639
1530	0.550881
1531	0.880784
1532	0.373814
1533	0.833314
1534	0.494490
1535	0.889892
1536	0.348824


0.000000	331.560832
0.001957	0.000000
0.003914	0.000000
0.005871	0.000000
0.007828	0.000000
0.009785	0.000000
0.011742	0.000000
0.013699	0.000000
0.015656	0.000000
0.017613	0.000000
0.019569	0.000000
0.021526	0.000000
0.023483	0.000000
0.025440	0.000000
0.027397	0.000000
0.029354	0.000000
0.031311	0.000000
0.033268	0.000000
0.035225	0.000000
0.037182	0.000000
0.039139	0.000000
0.041096	0.000000
0.043053	0.000000
0.045010	0.000000
0.046967	0.000000
0.048924	0.000000
0.050881	0.000000
0.052838	0.000000
0.054795	0.000000
0.056751	0.000000
0.058708	0.000000
0.060665	0.000000
0.062622	0.000000
0.064579	0.000000
0.066536	0.000000
0.068493	0.000000
0.070450	0.000000
0.072407	0.000000
0.074364	0.000000
0.076321	0.000000
0.078278	0.000000
0.080235	0.000000
0.082192	0.000000
0.084149	0.000000
0.086106	0.000000
0.088063	0.000000
0.090020	0.000000
0.091977	0.000000
0.093933	0.000000
0.095890	0.000000
0.097847	0.000000
0.099804	0.000000
0.101761	0.000000
0.103718	0.000000
0.105675	0.000000
0.107632	0.000000
0.109589	0.000000
0.111546	0.000000
0.113503	0.000000
0.115460	0.000000
0.117417	0.000000
0.119374	0.000000
0.121331	0.000000
0.123288	0.000000
0.125245	3.104003
0.127202	0.000000
0.129159	0.000000
0.131115	0.000000
0.133072	0.000000
0.135029	0.000000
0.136986	0.000000
0.138943	0.000000
0.140900	0.000000
0.142857	0.000000
0.144814	0.000000
0.146771	0.000000
0.148728	0.000000
0.150685	0.000000
0.152642	0.000000
0.154599	0.000000
0.156556	0.000000
0.158513	0.000000
0.160470	0.000000
0.162427	0.000000
0.164384	0.000000
0.166341	0.000000
0.168297	0.000000
0.170254	0.000000
0.172211	0.000000
0.174168	0.000000
0.176125	0.000000
0.178082	0.000000
0.180039	0.000000
0.181996	0.000000
0.183953	0.000000
0.185910	0.000000
0.187867	0.000000
0.189824	0.000000
0.191781	0.000000
0.193738	0.000000
0.195695	0.000000
0.197652	0.000000
0.199609	0.000000
0.201566	0.000000
0.203523	0.000000
0.205479	0.000000
0.207436	0.000000
0.209393	0.000000
0.211350	0.000000
0.213307	0.000000
0.215264	0.000000
0.217221	0.000000
0.219178	0.000000
0.221135	0.000000
0.223092	0.000000
0.225049	0.000000
0.227006	0.000000
0.228963	0.000000
0.230920	0.000000
0.232877	0.000000
0.234834	0.000000
0.236791	0.000000
0.238748	0.000000
0.240705	0.000000
0.242661	0.000000
0.244618	0.000000
0.246575	0.000000
0.248532	0.000000
0.250489	22.237233
0.252446	0.000000
0.254403	0.000000
0.256360	0.000000
0.258317	0.000000
0.260274	0.000000
0.262231	0.000000
0.264188	0.000000
0.266145	0.000000
0.268102	0.000000
0.270059	0.000000
0.272016	0.000000
0.273973	0.000000
0.275930	0.000000
0.277886	0.000000
0.279843	0.000000
0.281800	0.000000
0.283757	0.000000
0.285714	0.000000
0.287671	0.000000
0.289628	0.000000
0.291585	0.000000
0.293542	0.000000
0.295499	0.000000
0.297456	0.000000
0.299413	0.000000
0.301370	0.000000
0.303327	0.000000
0.305284	0.000000
0.307241	0.000000
0.309198	0.000000
0.311155	0.000000
0.313112	0.000000
0.315068	0.000000
0.317025	0.000000
0.318982	0.000000
0.320939	0.000000
0.322896	0.000000
0.324853	0.000000
0.326810	0.000000
0.328767	0.000000
0.330724	0.000000
0.332681	0.000000
0.334638	0.000000
0.336595	0.000000
0.338552	0.000000
0.340509	0.000000
0.342466	0.000000
0.344423	0.000000
0.346380	0.000000
0.348337	0.000000
0.350294	0.000000
0.352250	0.000000
0.354207	0.000000
0.356164	0.000000
0.358121	0.000000
0.360078	0.000000
0.362035	0.000000
0.363992	0.000000
0.365949	0.000000
0.367906	0.000000
0.369863	0.000000
0.371820	0.000000
0.373777	0.000000
0.375734	5.215218
0.377691	0.000000
0.379648	0.000000
0.381605	0.000000
0.383562	0.000000
0.385519	0.000000
0.387476	0.000000
0.389432	0.000000
0.391389	0.000000
0.393346	0.000000
0.395303	0.000000
0.397260	0.000000
0.399217	0.000000
0.401174	0.000000
0.403131	0.000000
0.405088	0.000000
0.407045	0.000000
0.409002	0.000000
0.410959	0.000000
0.412916	0.000000
0.414873	0.000000
0.416830	0.000000
0.418787	0.000000
0.420744	0.000000
0.422701	0.000000
0.424658	0.000000
0.426614	0.000000
0.428571	0.000000
0.430528	0.000000
0.432485	0.000000
0.434442	0.000000
0.436399	0.000000
0.438356	0.000000
0.440313	0.000000
0.442270	0.000000
0.444227	0.000000
0.446184	0.000000
0.448141	0.000000
0.450098	0.000000
0.452055	0.000000
0.454012	0.000000
0.455969	0.000000
0.457926	0.000000
0.459883	0.000000
0.461840	0.000000
0.463796	0.000000
0.465753	0.000000
0.467710	0.000000
0.469667	0.000000
0.471624	0.000000
0.473581	0.000000
0.475538	0.000000
0.477495	0.000000
0.479452	0.000000
0.481409	0.000000
0.483366	0.000000
0.485323	0.000000
0.487280	0.000000
0.489237	0.000000
0.491194	0.000000
0.493151	0.000000
0.495108	0.000000
0.497065	0.000000
0.499022	0.000000
0.500978	105.255680
