# Growth rate = 4.0000
# Number of generations	Populations
1422	0.708128
1423	0.826731
1424	0.572989
1425	0.978691
1426	0.083421
1427	0.305848
1428	0.849220
1429	0.512181
1430	0.999406
1431	0.002373
1432	0.009468
1433	0.037514
1434	0.144428
1435	0.494273
1436	0.999869
1437	0.000525
1438	0.002097
1439	0.008372
1440	0.033208
1441	0.128420
1442	0.447714
1443	0.989065
1444	0.043263
1445	0.165565
1446	0.552612
1447	0.988928
1448	0.043798
1449	0.167517
1450	0.557821
1451	0.986627
1452	0.052777
1453	0.199965
1454	0.639916
1455	0.921694
1456	0.288698
1457	0.821406
1458	0.586794
1459	0.969867
1460	0.116898
1461	0.412933
1462	0.969677
1463	0.117614
1464	0.415122
1465	0.971183
1466	0.111946
1467	0.397655
1468	0.958102
1469	0.160569
1470	0.539146
1471	0.993870
1472	0.024368
1473	0.095098
1474	0.344219
1475	0.902929
1476	0.350593
1477	0.910711
1478	0.325267
1479	0.877873
1480	0.428847
1481	0.979749
1482	0.079363
1483	0.292259
1484	0.827374
1485	0.571304
1486	0.979663
1487	0.079694
1488	0.293373
1489	0.829221
1490	0.566454
1491	0.982335
1492	0.069410
1493	0.258371
1494	0.766461
1495	0.715994
1496	0.813387
1497	0.607155
1498	0.954071
1499	0.175279
1500	0.578224
1501	0.975524
1502	0.095508
1503	0.345545
1504	0.904574
1505	0.345279
1506	0.904246
1507	0.346342
1508	0.905557
1509	0.342094
1510	0.900263
1511	0.359160
1512	0.920656
1513	0.292194
1514	0.827267
1515	0.571585
1516	0.979502
1517	0.080310
1518	0.295441
1519	0.832623
1520	0.557449
1521	0.986799
1522	0.052109
1523	0.197573
1524	0.634152
1525	0.928013
1526	0.267221
1527	0.783256
1528	0.679065
1529	0.871743
1530	0.447230
1531	0.988861
1532	0.044059
1533	0.168469
1534	0.560350
1535	0.985431
1536	0.057425


0.000000	264.211171
0.001957	6.042749
0.003914	2.795765
0.005871	13.570565
0.007828	17.576098
0.009785	15.159362
0.011742	0.316143
0.013699	9.742294
0.015656	4.076895
0.017613	6.397777
0.019569	12.992177
0.021526	6.572791
0.023483	4.572499
0.025440	10.035155
0.027397	8.124233
0.029354	1.243330
0.031311	5.788937
0.033268	4.804031
0.035225	7.321806
0.037182	6.718747
0.039139	8.957431
0.041096	7.301600
0.043053	3.644419
0.045010	1.464317
0.046967	3.777075
0.048924	6.900148
0.050881	1.572689
0.052838	3.053912
0.054795	7.352206
0.056751	8.003970
0.058708	1.875754
0.060665	5.663942
0.062622	8.073434
0.064579	5.093275
0.066536	13.958503
0.068493	8.666260
0.070450	4.307557
0.072407	2.194496
0.074364	5.596271
0.076321	8.381616
0.078278	6.324388
0.080235	6.405523
0.082192	5.096420
0.084149	1.785740
0.086106	9.544770
0.088063	8.233803
0.090020	4.795116
0.091977	2.432911
0.093933	1.961775
0.095890	6.019111
0.097847	4.589555
0.099804	7.601089
0.101761	6.721113
0.103718	3.182827
0.105675	3.151997
0.107632	5.209604
0.109589	4.307143
0.111546	11.297484
0.113503	3.017723
0.115460	5.148847
0.117417	7.890764
0.119374	10.898576
0.121331	2.040796
0.123288	3.225743
0.125245	1.601444
0.127202	8.915740
0.129159	9.674002
0.131115	0.835047
0.133072	8.138311
0.135029	13.289816
0.136986	6.201013
0.138943	5.077761
0.140900	7.897421
0.142857	8.230082
0.144814	1.253279
0.146771	2.851109
0.148728	11.239984
0.150685	3.542815
0.152642	9.369415
0.154599	20.665828
0.156556	12.207310
0.158513	4.095379
0.160470	13.951741
0.162427	4.714908
0.164384	9.101573
0.166341	2.441390
0.168297	14.494137
0.170254	9.437117
0.172211	3.751611
0.174168	6.620278
0.176125	1.639513
0.178082	8.769642
0.180039	2.687501
0.181996	5.286565
0.183953	9.257957
0.185910	4.780373
0.187867	4.683047
0.189824	5.591490
0.191781	7.161485
0.193738	5.183882
