# Growth rate = 3.2000
# Number of generations	Populations
1025	0.799455
1026	0.513045
1027	0.799455
1028	0.513045
1029	0.799455
1030	0.513045
1031	0.799455
1032	0.513045
1033	0.799455
1034	0.513045
1035	0.799455
1036	0.513045
1037	0.799455
1038	0.513045
1039	0.799455
1040	0.513045
1041	0.799455
1042	0.513045
1043	0.799455
1044	0.513045
1045	0.799455
1046	0.513045
1047	0.799455
1048	0.513045
1049	0.799455
1050	0.513045
1051	0.799455
1052	0.513045
1053	0.799455
1054	0.513045
1055	0.799455
1056	0.513045
1057	0.799455
1058	0.513045
1059	0.799455
1060	0.513045
1061	0.799455
1062	0.513045
1063	0.799455
1064	0.513045
1065	0.799455
1066	0.513045
1067	0.799455
1068	0.513045
1069	0.799455
1070	0.513045
1071	0.799455
1072	0.513045
1073	0.799455
1074	0.513045
1075	0.799455
1076	0.513045
1077	0.799455
1078	0.513045
1079	0.799455
1080	0.513045
1081	0.799455
1082	0.513045
1083	0.799455
1084	0.513045
1085	0.799455
1086	0.513045
1087	0.799455
1088	0.513045
1089	0.799455
1090	0.513045
1091	0.799455
1092	0.513045
1093	0.799455
1094	0.513045
1095	0.799455
1096	0.513045
1097	0.799455
1098	0.513045
1099	0.799455
1100	0.513045
1101	0.799455
1102	0.513045
1103	0.799455
1104	0.513045
1105	0.799455
1106	0.513045
1107	0.799455
1108	0.513045
1109	0.799455
1110	0.513045
1111	0.799455
1112	0.513045
1113	0.799455
1114	0.513045
1115	0.799455
1116	0.513045
1117	0.799455
1118	0.513045
1119	0.799455
1120	0.513045
1121	0.799455
1122	0.513045
1123	0.799455
1124	0.513045
1125	0.799455
1126	0.513045
1127	0.799455
1128	0.513045
1129	0.799455
1130	0.513045
1131	0.799455
1132	0.513045
1133	0.799455
1134	0.513045
1135	0.799455
1136	0.513045
1137	0.799455
1138	0.513045
1139	0.799455
1140	0.513045
1141	0.799455
1142	0.513045
1143	0.799455
1144	0.513045
1145	0.799455
1146	0.513045
1147	0.799455
1148	0.513045
1149	0.799455
1150	0.513045
1151	0.799455
1152	0.513045
1153	0.799455
1154	0.513045
1155	0.799455
1156	0.513045
1157	0.799455
1158	0.513045
1159	0.799455
1160	0.513045
1161	0.799455
1162	0.513045
1163	0.799455
1164	0.513045
1165	0.799455
1166	0.513045
1167	0.799455
1168	0.513045
1169	0.799455
1170	0.513045
1171	0.799455
1172	0.513045
1173	0.799455
1174	0.513045
1175	0.799455
1176	0.513045
1177	0.799455
1178	0.513045
1179	0.799455
1180	0.513045
1181	0.799455
1182	0.513045
1183	0.799455
1184	0.513045
1185	0.799455
1186	0.513045
1187	0.799455
1188	0.513045
1189	0.799455
1190	0.513045
1191	0.799455
1192	0.513045
1193	0.799455
1194	0.513045
1195	0.799455
1196	0.513045
1197	0.799455
1198	0.513045
1199	0.799455
1200	0.513045
1201	0.799455
1202	0.513045
1203	0.799455
1204	0.513045
1205	0.799455
1206	0.513045
1207	0.799455
1208	0.513045
1209	0.799455
1210	0.513045
1211	0.799455
1212	0.513045
1213	0.799455
1214	0.513045
1215	0.799455
1216	0.513045
1217	0.799455
1218	0.513045
1219	0.799455
1220	0.513045
1221	0.799455
1222	0.513045
1223	0.799455
1224	0.513045
1225	0.799455
1226	0.513045
1227	0.799455
1228	0.513045
1229	0.799455
1230	0.513045
1231	0.799455
1232	0.513045
1233	0.799455
1234	0.513045
1235	0.799455
1236	0.513045
1237	0.799455
1238	0.513045
1239	0.799455
1240	0.513045
1241	0.799455
1242	0.513045
1243	0.799455
1244	0.513045
1245	0.799455
1246	0.513045
1247	0.799455
1248	0.513045
1249	0.799455
1250	0.513045
1251	0.799455
1252	0.513045
1253	0.799455
1254	0.513045
1255	0.799455
1256	0.513045
1257	0.799455
1258	0.513045
1259	0.799455
1260	0.513045
1261	0.799455
1262	0.513045
1263	0.799455
1264	0.513045
1265	0.799455
1266	0.513045
1267	0.799455
1268	0.513045
1269	0.799455
1270	0.513045
1271	0.799455
1272	0.513045
1273	0.799455
1274	0.513045
1275	0.799455
1276	0.513045
1277	0.799455
1278	0.513045
1279	0.799455
1280	0.513045
1281	0.799455
1282	0.513045
1283	0.799455
1284	0.513045
1285	0.799455
1286	0.513045
1287	0.799455
1288	0.513045
1289	0.799455
1290	0.513045
1291	0.799455
1292	0.513045
1293	0.799455
1294	0.513045
1295	0.799455
1296	0.513045
1297	0.799455
1298	0.513045
1299	0.799455
1300	0.513045
1301	0.799455
1302	0.513045
1303	0.799455
1304	0.513045
1305	0.799455
1306	0.513045
1307	0.799455
1308	0.513045
1309	0.799455
1310	0.513045
1311	0.799455
1312	0.513045
1313	0.799455
1314	0.513045
1315	0.799455
1316	0.513045
1317	0.799455
1318	0.513045
1319	0.799455
1320	0.513045
1321	0.799455
1322	0.513045
1323	0.799455
1324	0.513045
1325	0.799455
1326	0.513045
1327	0.799455
1328	0.513045
1329	0.799455
1330	0.513045
1331	0.799455
1332	0.513045
1333	0.799455
1334	0.513045
1335	0.799455
1336	0.513045
1337	0.799455
1338	0.513045
1339	0.799455
1340	0.513045
1341	0.799455
1342	0.513045
1343	0.799455
1344	0.513045
1345	0.799455
1346	0.513045
1347	0.799455
1348	0.513045
1349	0.799455
1350	0.513045
1351	0.799455
1352	0.513045
1353	0.799455
1354	0.513045
1355	0.799455
1356	0.513045
1357	0.799455
1358	0.513045
1359	0.799455
1360	0.513045
1361	0.799455
1362	0.513045
1363	0.799455
