# Growth rate = 3.8304
# Number of generations	Populations
1025	0.155687
1026	0.503502
1027	0.957553
1028	0.155687
1029	0.503502
1030	0.957553
1031	0.155687
1032	0.503502
1033	0.957553
1034	0.155687
1035	0.503502
1036	0.957553
1037	0.155687
1038	0.503502
1039	0.957553
1040	0.155687
1041	0.503502
1042	0.957553
1043	0.155687
1044	0.503502
1045	0.957553
1046	0.155687
1047	0.503502
1048	0.957553
1049	0.155687
1050	0.503502
1051	0.957553
1052	0.155687
1053	0.503502
1054	0.957553
1055	0.155687
1056	0.503502
1057	0.957553
1058	0.155687
1059	0.503502
1060	0.957553
1061	0.155687
1062	0.503502
1063	0.957553
1064	0.155687
1065	0.503502
1066	0.957553
1067	0.155687
1068	0.503502
1069	0.957553
1070	0.155687
1071	0.503502
1072	0.957553
1073	0.155687
1074	0.503502
1075	0.957553
1076	0.155687
1077	0.503502
1078	0.957553
1079	0.155687
1080	0.503502
1081	0.957553
1082	0.155687
1083	0.503502
1084	0.957553
1085	0.155687
1086	0.503502
1087	0.957553
1088	0.155687
1089	0.503502
1090	0.957553
1091	0.155687
1092	0.503502
1093	0.957553
1094	0.155687
1095	0.503502
1096	0.957553
1097	0.155687
1098	0.503502
1099	0.957553
1100	0.155687
1101	0.503502
1102	0.957553
1103	0.155687
1104	0.503502
1105	0.957553
1106	0.155687
1107	0.503502
1108	0.957553
1109	0.155687
1110	0.503502
1111	0.957553
1112	0.155687
1113	0.503502
1114	0.957553
1115	0.155687
1116	0.503502
1117	0.957553
1118	0.155687
1119	0.503502
1120	0.957553
1121	0.155687
1122	0.503502
1123	0.957553
1124	0.155687
1125	0.503502
1126	0.957553
1127	0.155687
1128	0.503502
1129	0.957553
1130	0.155687
1131	0.503502
1132	0.957553
1133	0.155687
1134	0.503502
1135	0.957553
1136	0.155687
1137	0.503502
1138	0.957553
1139	0.155687
1140	0.503502
1141	0.957553
1142	0.155687
1143	0.503502
1144	0.957553
1145	0.155687
1146	0.503502
1147	0.957553
1148	0.155687
1149	0.503502
1150	0.957553
1151	0.155687
1152	0.503502
1153	0.957553
1154	0.155687
1155	0.503502
1156	0.957553
1157	0.155687
1158	0.503502
1159	0.957553
1160	0.155687
1161	0.503502
1162	0.957553
1163	0.155687
1164	0.503502
1165	0.957553
1166	0.155687
1167	0.503502
1168	0.957553
1169	0.155687
1170	0.503502
1171	0.957553
1172	0.155687
1173	0.503502
1174	0.957553
1175	0.155687
1176	0.503502
1177	0.957553
1178	0.155687
1179	0.503502
1180	0.957553
1181	0.155687
1182	0.503502
1183	0.957553
1184	0.155687
1185	0.503502
1186	0.957553
1187	0.155687
1188	0.503502
1189	0.957553
1190	0.155687
1191	0.503502
1192	0.957553
